읍면동명,이용자수
건입동,4317922
구좌읍,508704
남원읍,257136
노형동,43034184
대정읍,290856
대천동,120359
도두동,274944
동홍동,708177
봉개동,38639
삼도1동,403082
삼도2동,3432096
삼양동,50366
서홍동,26941
성산읍,3314208
송산동,534157
아라동,263208
안덕면,8426904
애월읍,3543120
연동,133506720
영천동,117205
예래동,9765624
오라동,128669
외도동,234431
용담1동,116388
용담2동,35609760
우도면,642032
이도1동,590722
이도2동,2148480
이호동,1549735
일도1동,7137813
일도2동,586902
정방동,1997222
조천읍,1411056
중문동,1714708
중앙동,897234
천지동,1349424
표선면,5469984
한림읍,1021656
화북동,139840
효돈동,20946
